實習崗位:,,,
（1）實習地點 ：北京,,,
科創企業，包括但不限於以下企業,,,
（持續更新中）,,,
,,,
序號,企業,崗位,特別要求
1,中國科學院生態環境研究中心,,
2,北京眸視科技有限公司,,
3,北京聲智科技有限公司,研究助理,電腦科學、人工智慧或相關領域的碩士或博士在讀，對科技有持續的熱情，遠見好學
4,北京聲智科技有限公司,海外媒體營運實習生,1.有較強英語寫作及溝通能力，本科及以上學歷，英語、小語種、新聞傳播傳媒類專業優先；
,,,2.有海外學習或生活經驗、海外社群媒體營運、網紅行銷、通路合作等相關經驗者優先；
,,,3.有較強的責任感，目標導向，積極主動，自驅力，數據敏感，優秀的問題分析和解決問題能力。
5,北京聲智科技有限公司,電商實習生,1．在校本科生或研究生，電子商務、行銷、商業管理或相關專業優先。
,,,2．熟悉主流電商平台（如淘寶、京東等）的營運規則和流程優先。
,,,3．具備良好的資料分析能力及邏輯思考能力，熟練使用Excel等辦公室軟體。
6,北京聲智科技有限公司,設計實習生,1.本科及以上學歷，視覺傳達、工業設計、廣告設計、互動設計等相關專業優先
,,,2.熟練使用 Sketch、Illustrator、Photoshop 等軟體
,,,3.美感良好，思維敏捷，學習能力強，工作認真細緻，具備團隊精神
7,北京聲智科技有限公司,內容實習生,1.本科及以上學歷，新聞、中文、理工類相關專業優先
,,,2.熟悉消費性電子產品及使用者心理，相關經驗優先
,,,3.熟悉各種新媒體、新技術的運用及玩法，有服務或經營過大號者優先
,,,4.具備較強的溝通表達能力，簡單高效，有團隊合作精神。
8,北京聲智科技有限公司,媒介實習生,1.抖音5G衝浪達人，能夠快速判斷和篩選和品牌產品相符的達人;
,,,2.優秀的溝通能力、勤奮、細心、有責任感。
9,新東方前途出國歐亞教育,,
10,卡尤迪生物科技,,生物科技的硕士和博士
,,,
,,,
（2）實習地點 ：廣州 ,,,
科創企業，包括但不限於以下企業,,,
（持續更新中）,,,
,,,
序號,企業,崗位,特別要求
1,廣州工控科技產業發展集團有限公司,,
,,,
,,,
實習地點：深圳,,,
科創企業，包括但不限於以下企業,,,
,,,
,,,
（持續更新中）,,,
,,,
序號,企業,崗位,特別要求
1,北京聲智科技有限公司,抖店營運實習生,1.有抖音營運實習經驗
,,,2.勤奮踏實細心，積極向上，目標感強
2,深圳締宙科技,,
